HOME_CBG,STREET_ADDRESS,LATITUDE,LONGITUDE,YearRange,Average_Visits
010810405001,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,8.0
010810405002,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,3.5
010810406043,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010810408001,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010810409012,1025 Ga-34 Walmart Supercenter,33.3935,-84.743611,2022-2023,8.0
010810409022,1025 Ga 34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.0
010810409022,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,6.0
010810409022,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,5.0
010810409022,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010810410001,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,8.0
010810410002,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,6.0
010810411001,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,4.5
010810411002,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,5.0
010810411002,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010810411003,1025 Ga 34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.0
010810411004,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,4.0
010810412002,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,5.0
010810417001,2717 Ga 54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010810417001,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010810417002,1025 Ga 34 Walmart Supercenter,33.393687,-84.74375,2022-2023,14.0
010810417003,1025 Ga 34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.0
010810417003,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,5.0
010810417003,2717 Ga 54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010810417004,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,6.0
010810417004,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,5.0
010810418001,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,5.0
010810418002,1025 Ga 34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.0
010810418002,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,8.0
010810418002,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,8.0
010810418002,2717 Ga 54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010810418003,1025 Ga-34 Walmart Supercenter,33.3935,-84.743611,2022-2023,15.0
010810418003,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,15.0
010810419001,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010810419003,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,6.0
010810420021,1025 Ga 34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.0
010810420021,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,5.0
010810420031,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,6.0
010810420031,2717 Ga 54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010810420042,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,9.0
010810420043,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,6.0
010810420043,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,22.0
010810420053,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,5.0
010810420061,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,8.0
010810421013,1025 Ga 34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.0
010810421022,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,6.0
010830204013,1025 Ga 34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.0
010830209001,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,1.0
010872316011,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010872317001,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,5.0
010872322001,2717 Ga 54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010890013011,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,14.0
010890019021,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,8.0
010890021002,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,4.5
010890028021,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.0
010890101001,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010890106224,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.0
010890110113,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,5.0
010890110121,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,5.0
010890110222,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,7.0
010950305005,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010950308022,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,5.0
010950312001,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,9.0
010970009011,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,8.0
010970034061,1025 Ga-34 Walmart Supercenter,33.3935,-84.743611,2022-2023,8.0
010970036051,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,5.0
010970053001,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,8.0
010970054002,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,8.0
010970054002,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,4.666666666666667
010970061031,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010970061051,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,8.0
010970063013,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,11.0
010970063022,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.0
010970064053,1025 Ga 34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.0
010970069011,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,4.0
010970069012,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010970069021,1025 Ga 34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.0
010970072023,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010990761003,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,6.0
011010001001,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
011010013001,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.5
011010022021,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
011010027002,1025 Ga-34 Walmart Supercenter,33.3935,-84.743611,2022-2023,8.0
011010032002,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,6.0
011010033012,1025 Ga 34 Walmart Supercenter,33.393687,-84.74375,2022-2023,14.0
011010033021,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,5.0
011010033021,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
011010051012,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,8.0
011010051022,1025 Ga 34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.0
011010054063,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,4.0
011010054081,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,5.0
011010056043,1025 Ga-34 Walmart Supercenter,33.3935,-84.743611,2022-2023,8.0
011010056052,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,6.0
011010056071,1025 Ga 34 Walmart Supercenter,33.393687,-84.74375,2022-2023,14.0
011010056071,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,15.0
011010056082,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,8.0
011010060003,1025 Ga 34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.0
011010060003,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,16.0
011010060003,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,9.0
011030051063,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,5.0
011030051082,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,11.0
011030055003,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,6.0
011091886001,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,8.0
011091890002,1025 Ga 34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.0
011091891002,1025 Ga-34 Walmart Supercenter,33.3935,-84.743611,2022-2023,8.0
011091893004,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,6.0
011110001001,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,6.0
011110001001,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,1.0
011110001002,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
011110002002,1025 Ga 34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.0
011110002002,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,5.5
011110003001,1025 Ga 34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.0
011110003001,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,1.0
011110003002,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,6.0
011110003003,2717 Ga 54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
011110004001,1025 Ga-34 Walmart Supercenter,33.3935,-84.743611,2022-2023,8.0
011110004001,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,1.0
011110004002,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,16.0
011110004003,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,17.0
011110004004,1025 Ga 34 Walmart Supercenter,33.393687,-84.74375,2022-2023,14.0
011110005001,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,9.0
011110005002,1025 Ga-34 Walmart Supercenter,33.3935,-84.743611,2022-2023,15.0
011110005002,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,14.0
011110005002,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
011110005003,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,7.0
011110005004,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,6.5
