Start,Stop,fips,County_StateAbb,County,StateAbb,Obesity,Overweight,Ncount
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,48399,"RUNNELS, TX",RUNNELS,TX,44.2,33.4,4335
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,48081,"COKE, TX",COKE,TX,44.1,36.8,2020
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,13055,"CHATTOOGA, GA",CHATTOOGA,GA,44.1,31.3,8819
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21139,"LIVINGSTON, KY",LIVINGSTON,KY,44,33.9,5985
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,29223,"WAYNE, MO",WAYNE,MO,44,31.6,6596
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,37083,"HALIFAX, NC",HALIFAX,NC,44,29.2,35501
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,48431,"STERLING, TX",STERLING,TX,44,33.8,678
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21109,"JACKSON, KY",JACKSON,KY,43.9,28.5,6303
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,13047,"CATOOSA, GA",CATOOSA,GA,43.9,33,23571
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21133,"LETCHER, KY",LETCHER,KY,43.8,28.1,7400
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,17153,"PULASKI, IL",PULASKI,IL,43.8,31.3,2472
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21039,"CARLISLE, KY",CARLISLE,KY,43.8,33.5,2733
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,17161,"ROCK ISLAND, IL",ROCK ISLAND,IL,43.7,32.1,80673
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,48257,"KAUFMAN, TX",KAUFMAN,TX,43.7,31.6,96452
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21157,"MARSHALL, KY",MARSHALL,KY,43.5,36,21280
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,13257,"STEPHENS, GA",STEPHENS,GA,43.5,34.3,17376
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,48395,"ROBERTSON, TX",ROBERTSON,TX,43.5,29.4,6870
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,13223,"PAULDING, GA",PAULDING,GA,43.5,33.5,97054
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21041,"CARROLL, KY",CARROLL,KY,43.4,30.3,5934
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,29117,"LIVINGSTON, MO",LIVINGSTON,MO,43.4,31.7,8808
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,13119,"FRANKLIN, GA",FRANKLIN,GA,43.4,32.9,14276
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,17005,"BOND, IL",BOND,IL,43.4,31,10031
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,20009,"BARTON, KS",BARTON,KS,43.3,29.8,14647
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,48099,"CORYELL, TX",CORYELL,TX,43.3,30,33695
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,29017,"BOLLINGER, MO",BOLLINGER,MO,43.3,30.1,5729
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21051,"CLAY, KY",CLAY,KY,43.3,30.5,15514
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21097,"HARRISON, KY",HARRISON,KY,43.2,29.2,4964
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,29023,"BUTLER, MO",BUTLER,MO,43.2,28.9,23284
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,17131,"MERCER, IL",MERCER,IL,43.1,29.5,7664
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,17183,"VERMILION, IL",VERMILION,IL,43.1,31,52842
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,37131,"NORTHAMPTON, NC",NORTHAMPTON,NC,43.1,29.3,12160
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21145,"MCCRACKEN, KY",MCCRACKEN,KY,43,35.8,48767
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,37143,"PERQUIMANS, NC",PERQUIMANS,NC,43,33.2,9402
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,37169,"STOKES, NC",STOKES,NC,43,33.2,29343
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,17027,"CLINTON, IL",CLINTON,IL,43,33.5,21480
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,48027,"BELL, TX",BELL,TX,42.9,32.2,233453
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21065,"ESTILL, KY",ESTILL,KY,42.9,32.1,8548
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,48251,"JOHNSON, TX",JOHNSON,TX,42.8,32.9,106496
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,20165,"RUSH, KS",RUSH,KS,42.8,26.9,813
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,17159,"RICHLAND, IL",RICHLAND,IL,42.8,32.3,10684
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,29201,"SCOTT, MO",SCOTT,MO,42.8,30.8,19077
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21229,"WASHINGTON, KY",WASHINGTON,KY,42.8,28,4182
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,29049,"CLINTON, MO",CLINTON,MO,42.7,30.2,6974
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,17095,"KNOX, IL",KNOX,IL,42.7,32.7,34444
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,17099,"LA SALLE, IL",LASALLE,IL,42.7,33.3,68925
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,29081,"HARRISON, MO",HARRISON,MO,42.6,27.9,2433
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,13141,"HANCOCK, GA",HANCOCK,GA,42.5,26.4,1674
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21115,"JOHNSON, KY",JOHNSON,KY,42.5,26.6,5611
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,20139,"OSAGE, KS",OSAGE,KS,42.5,29.4,11688
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,20059,"FRANKLIN, KS",FRANKLIN,KS,42.5,31.9,14177
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21175,"MORGAN, KY",MORGAN,KY,42.5,26,2077
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,17073,"HENRY, IL",HENRY,IL,42.4,31.1,25398
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,48231,"HUNT, TX",HUNT,TX,42.4,30.8,34532
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,20001,"ALLEN, KS",ALLEN,KS,42.4,29.8,5689
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,17203,"WOODFORD, IL",WOODFORD,IL,42.4,35.5,25591
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,48105,"CROCKETT, TX",CROCKETT,TX,42.2,31.3,1913
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,48477,"WASHINGTON, TX",WASHINGTON,TX,42.2,34.4,25142
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21143,"LYON, KY",LYON,KY,42.2,35.8,4372
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21083,"GRAVES, KY",GRAVES,KY,42.1,32.4,17511
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,29207,"STODDARD, MO",STODDARD,MO,42.1,31,13056
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,13221,"OGLETHORPE, GA",OGLETHORPE,GA,42.1,31.5,3948
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,29155,"PEMISCOT, MO",PEMISCOT,MO,42.1,28.1,5074
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21205,"ROWAN, KY",ROWAN,KY,42,28.8,4008
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,48185,"GRIMES, TX",GRIMES,TX,42,31.2,14051
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,29161,"PHELPS, MO",PHELPS,MO,41.9,31.9,26723
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,37157,"ROCKINGHAM, NC",ROCKINGHAM,NC,41.9,30.9,63348
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,29221,"WASHINGTON, MO",WASHINGTON,MO,41.9,26,1163
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,17101,"LAWRENCE, IL",LAWRENCE,IL,41.9,29.7,7621
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,20197,"WABAUNSEE, KS",WABAUNSEE,KS,41.8,29,3957
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21193,"PERRY, KY",PERRY,KY,41.8,25.7,6048
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,48095,"CONCHO, TX",CONCHO,TX,41.8,36.4,1614
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,17061,"GREENE, IL",GREENE,IL,41.8,24.9,2346
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,37051,"CUMBERLAND, NC",CUMBERLAND,NC,41.8,29.8,158087
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,13199,"MERIWETHER, GA",MERIWETHER,GA,41.8,27.7,6812
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21153,"MAGOFFIN, KY",MAGOFFIN,KY,41.7,30.1,4015
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,17179,"TAZEWELL, IL",TAZEWELL,IL,41.7,32.8,97596
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,13195,"MADISON, GA",MADISON,GA,41.7,29.4,8500
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,13039,"CAMDEN, GA",CAMDEN,GA,41.7,32.1,16385
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,37013,"BEAUFORT, NC",BEAUFORT,NC,41.6,33.2,34845
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,37085,"HARNETT, NC",HARNETT,NC,41.6,30.7,63190
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,37191,"WAYNE, NC",WAYNE,NC,41.6,30.5,79981
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,13295,"WALKER, GA",WALKER,GA,41.5,31.1,20739
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,37195,"WILSON, NC",WILSON,NC,41.5,27.8,40553
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,37197,"YADKIN, NC",YADKIN,NC,41.5,33.5,20846
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,20193,"THOMAS, KS",THOMAS,KS,41.5,30.9,5385
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,48169,"GARZA, TX",GARZA,TX,41.5,20.1,164
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,29179,"REYNOLDS, MO",REYNOLDS,MO,41.4,28.7,2010
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21027,"BRECKINRIDGE, KY",BRECKINRIDGE,KY,41.4,29.3,8933
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,48435,"SUTTON, TX",SUTTON,TX,41.4,29.2,1475
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21173,"MONTGOMERY, KY",MONTGOMERY,KY,41.3,25.9,6157
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21165,"MENIFEE, KY",MENIFEE,KY,41.3,26.8,1550
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21167,"MERCER, KY",MERCER,KY,41.3,29.3,7718
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,48467,"VAN ZANDT, TX",VAN ZANDT,TX,41.3,32.4,21613
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,29079,"GRUNDY, MO",GRUNDY,MO,41.1,29.6,6263
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,48219,"HOCKLEY, TX",HOCKLEY,TX,41.1,22.5,574
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,20005,"ATCHISON, KS",ATCHISON,KS,41.1,28.7,5084
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,37171,"SURRY, NC",SURRY,NC,41.1,31,30683
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,37127,"NASH, NC",NASH,NC,41,27.7,63687
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,29147,"NODAWAY, MO",NODAWAY,MO,40.9,28.7,12273
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21033,"CALDWELL, KY",CALDWELL,KY,40.9,31.7,5510
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,37159,"ROWAN, NC",ROWAN,NC,40.9,30.9,74453
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,17113,"MCLEAN, IL",MCLEAN,IL,40.9,34,109546
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,13115,"FLOYD, GA",FLOYD,GA,40.9,30.8,34166
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,13285,"TROUP, GA",TROUP,GA,40.9,29.3,40757
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,13311,"WHITE, GA",WHITE,GA,40.7,35.2,19791
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21189,"OWSLEY, KY",OWSLEY,KY,40.7,26.1,1236
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,13137,"HABERSHAM, GA",HABERSHAM,GA,40.7,33.2,29146
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,29061,"DAVIESS, MO",DAVIESS,MO,40.7,28.2,2804
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,20003,"ANDERSON, KS",ANDERSON,KS,40.6,32.2,4738
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,48481,"WHARTON, TX",WHARTON,TX,40.6,27.7,14617
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,37039,"CHEROKEE, NC",CHEROKEE,NC,40.6,36.6,16121
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21125,"LAUREL, KY",LAUREL,KY,40.5,28.4,29110
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21079,"GARRARD, KY",GARRARD,KY,40.5,31.4,9592
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,48309,"MCLENNAN, TX",MCLENNAN,TX,40.5,30.9,123967
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21085,"GRAYSON, KY",GRAYSON,KY,40.4,28.9,10410
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,17013,"CALHOUN, IL",CALHOUN,IL,40.3,25.3,625
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,37029,"CAMDEN, NC",CAMDEN,NC,40.3,31.9,7143
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,48287,"LEE, TX",LEE,TX,40.2,27.4,4458
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,37101,"JOHNSTON, NC",JOHNSTON,NC,40.2,29.9,135494
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,20145,"PAWNEE, KS",PAWNEE,KS,40.2,24.3,1993
