Start,Stop,County_StateAbb,County,StateAbb,Obesity,StateGroup,Overweight,Ncount,N_DiagnosedHTN,State,Ncount_nested,fips
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"CLEBURNE, AL",CLEBURNE,AL,42.6,State Group 3,26.6,1797,998,Alabama,NA,01029
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"CLEBURNE, AL",CLEBURNE,AL,42.6,State Group 3,26.6,1797,998,Alabama,NA,01029
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"SAINT MARTIN, LA",SAINT MARTIN,LA,42.5,State Group 3,31.7,25592,12082,Louisiana,25592,22099
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"BURKE, ND",BURKE,ND,42.5,State Group 3,27.2,1002,392,North Dakota,NA,38013
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"CALHOUN, WV",CALHOUN,WV,42.4,State Group 3,26.1,2830,1251,West Virginia,NA,54013
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"WALSH, ND",WALSH,ND,42.4,State Group 3,26.3,7964,3721,North Dakota,7964,38099
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"MCDOWELL, WV",MCDOWELL,WV,42.2,State Group 3,24.9,6463,2734,West Virginia,6463,54047
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"TANGIPAHOA, LA",TANGIPAHOA,LA,42.1,State Group 3,31.6,84226,38116,Louisiana,84226,22105
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"SCHOHARIE, NY",SCHOHARIE,NY,42,State Group 3,31.3,20210,9334,New York,20210,36095
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"CHESTERFIELD, SC",CHESTERFIELD,SC,42,State Group 3,29.7,20484,9890,South Carolina,20484,45025
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"KIDDER, ND",KIDDER,ND,42,State Group 3,23.5,1293,601,North Dakota,NA,38043
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"CHESTER, SC",CHESTER,SC,41.9,State Group 3,28.8,20394,10734,South Carolina,20394,45023
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"BARNWELL, SC",BARNWELL,SC,41.9,State Group 3,25.8,6596,2819,South Carolina,6596,45011
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"MONROE, PA",MONROE,PA,41.9,State Group 3,35.5,122596,54261,Pennsylvania,122596,42089
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"MANITOWOC, WI",MANITOWOC,WI,41.8,State Group 3,30.4,55166,22829,Wisconsin,55166,55071
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"MINIDOKA, ID",MINIDOKA,ID,41.8,State Group 3,30,10943,4905,Idaho,10943,16067
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"SPARTANBURG, SC",SPARTANBURG,SC,41.8,State Group 3,33.1,254923,117026,South Carolina,254923,45083
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"LEE, SC",LEE,SC,41.8,State Group 3,26.8,8509,4572,South Carolina,8509,45061
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"SHEBOYGAN, WI",SHEBOYGAN,WI,41.8,State Group 3,33.6,83802,37908,Wisconsin,83802,55117
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"SAINT CHARLES, LA",SAINT CHARLES,LA,41.8,State Group 3,32.6,28733,12783,Louisiana,28733,22089
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"GRANT, ND",GRANT,ND,41.7,State Group 3,29.5,1310,703,North Dakota,NA,38037
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"PRESTON, WV",PRESTON,WV,41.6,State Group 3,28.5,17454,7840,West Virginia,17454,54077
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"SCHUYLKILL, PA",SCHUYLKILL,PA,41.6,State Group 3,30.5,98794,45609,Pennsylvania,98794,42107
